Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Time to Second Token (ms),22.73,1.22,88.65,2272.78,1.22,1.30,1.32,1.55,2.44,21.91,85.50,87.09,88.47,35.88
Tokens In Flight (tokens),4277.57,0.00,4605.97,,,,,,4290.24,,4540.24,4571.07,4595.94,319.41

Metric,Value
Benchmark Duration (sec),24.38
Input Token Throughput (tokens/sec),4199.50
OSL Mismatch Count,1.00
Output Token Throughput (tokens/sec),522.85
Request Count,100.00
Request Throughput (requests/sec),4.10
Total Input Sequence Length (tokens),102400.00
Total Output Sequence Length (tokens),12749.00
Total Output Tokens (tokens),12749.00
Total Token Throughput (tokens/sec),4722.34
